against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_legendary
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49.0,5120.0,70.0,318.0,49.0,1059860.0,0.7,45.0,88.1,1.0,65.0,65.0,45.0,6.9,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62.0,5120.0,70.0,405.0,63.0,1059860.0,1.0,60.0,88.1,2.0,80.0,80.0,60.0,13.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100.0,5120.0,70.0,625.0,123.0,1059860.0,2.0,80.0,88.1,3.0,122.0,120.0,80.0,100.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52.0,5120.0,70.0,309.0,43.0,1059860.0,0.6,39.0,88.1,4.0,60.0,50.0,65.0,8.5,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64.0,5120.0,70.0,405.0,58.0,1059860.0,1.1,58.0,88.1,5.0,80.0,65.0,80.0,19.0,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,78.0,1059860.0,1.7,78.0,88.1,6.0,159.0,115.0,100.0,90.5,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48.0,5120.0,70.0,314.0,65.0,1059860.0,0.5,44.0,88.1,7.0,50.0,64.0,43.0,9.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63.0,5120.0,70.0,405.0,80.0,1059860.0,1.0,59.0,88.1,8.0,65.0,80.0,58.0,22.5,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103.0,5120.0,70.0,630.0,120.0,1059860.0,1.6,79.0,88.1,9.0,135.0,115.0,78.0,85.5,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840.0,70.0,195.0,35.0,1000000.0,0.3,45.0,50.0,10.0,20.0,20.0,45.0,2.9,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840.0,70.0,205.0,55.0,1000000.0,0.7,50.0,50.0,11.0,25.0,25.0,30.0,9.9,1.0,0.0
0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840.0,70.0,395.0,50.0,1000000.0,1.1,60.0,50.0,12.0,90.0,80.0,70.0,32.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840.0,70.0,195.0,30.0,1000000.0,0.3,40.0,50.0,13.0,20.0,20.0,50.0,3.2,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840.0,70.0,205.0,50.0,1000000.0,0.6,45.0,50.0,14.0,25.0,25.0,35.0,10.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,40.0,1000000.0,1.0,65.0,50.0,15.0,15.0,80.0,145.0,29.5,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840.0,70.0,251.0,40.0,1059860.0,0.3,40.0,50.0,16.0,35.0,35.0,56.0,1.8,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,349.0,55.0,1059860.0,1.1,63.0,50.0,17.0,50.0,50.0,71.0,30.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,80.0,1059860.0,1.5,83.0,50.0,18.0,135.0,80.0,121.0,39.5,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840.0,70.0,253.0,35.0,1000000.0,0.6,30.0,50.0,19.0,25.0,35.0,72.0,15.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,3840.0,70.0,413.0,70.0,1000000.0,0.6,75.0,50.0,20.0,40.0,80.0,77.0,15.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,262.0,30.0,1000000.0,0.3,40.0,50.0,21.0,31.0,31.0,70.0,2.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,3840.0,70.0,442.0,65.0,1000000.0,1.2,65.0,50.0,22.0,61.0,61.0,100.0,38.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60.0,5120.0,70.0,288.0,44.0,1000000.0,2.0,35.0,50.0,23.0,40.0,54.0,55.0,6.9,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95.0,5120.0,70.0,448.0,69.0,1000000.0,3.5,60.0,50.0,24.0,65.0,79.0,80.0,65.0,1.0,0.0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55.0,2560.0,70.0,320.0,40.0,1000000.0,0.4,35.0,50.0,25.0,50.0,50.0,90.0,6.0,1.0,0.0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85.0,2560.0,70.0,485.0,50.0,1000000.0,0.6,60.0,50.0,26.0,95.0,85.0,110.0,15.0,1.0,0.0
